"matter","qcasenumber"
"026723-0226-079","17-1097"
"104826-0001 (2)","17C0004"
"088888-0501-08","MID-L-006893-19"
"108425-0001-08","17-02534"
"049673-0366-01","17-00174"
"026723-0226-138","18-0226"
"197055-0002.001","civds1938721"
"061942-0000-05","540-2016-03066"
"002579-0485-01","510-2018-01210"
"026723-0226-283","2018--L-009526"
"068695-0124-119","19-00802"
"030625-0000.01","0:13-cv-60943"
"105147-0001-01","6 Map 2017"
"107942-0001.012","16cv1192"
"026723-0226-075","17-1877"
"026723-0226-291","18-00751 "
"026723-0226-298","18L012741"
"025865-0155","15-1713"
"118355-0001-01","2017CH03369"
"007568-0303-02","18-01930"
"010601-0010.001","SU-16-324, 16-325, 16-326, 16-328, 16-329"
"061942-0000-02","450-2015-03976"
"026723-0226-305","00885"
"026723-0226-192","18-0396"
"049673-0020    .001","CR201803090"
"PH Temp. Holding (13)","15-2240"
"010849-0001-03","530-2016-00430"
"024127-0100-01","2:15-cv-00547"
"020787-0001-02","015CV61599WJZ"
"107063-0009.005","18STCV06084"
"028581-0095-05","17-01957"
"111240-0011","15-1252 "
"007568-0302","16-02952"
"026723-0226-081"," 17-1105"
"103646-0001","013-32882"
"068695-0124-133","19-902806"
"108929-0001-12","1081"
"020598-0003-0001","15-094 (CNTR)"
"025010-0294-02","1:15-cv-20664-Moreno"
"042160-0056","ER15-1139"
"037492-0286.001","18-cv-05619"
"064416-5931-04","IPR2015-01674"
"115762-0001-16","2016-006067-CA-01"
"107942-0001.007","16-628"
"068695-0124-104","18-op-46346"
"106334-0010.001"," 19-81622"
"024607-0049.05","18-cv-00198; 18-00511"
"099200-0123-01","18-01423"
"063784-0180-01","12-06805"
"052339-0068-03","16 cv 1473"
"056089-0013","1:14-cv-416"
"PH Temp. Holding (17)","520-2016-01230"
"112177-0015.001","160699/18"
"026723-0226-072","17-2570"
"022226-0021-01","19 cv 4186"
"049673-0253","16CV297900"
"099200-0127.087","19 cv 2105"
"067326-0024.002","652034/17"
"115713-0024.003","CV-030725-19"
"054345-0061.001","AAA"
"107208-0009","503215/13"
"PH Temp. Holding (97)","18-02132"
"025579-0000-","17-1445"
"028581-0095-11","17-03372"
"097029-0105.002","520-2015-02616"
"031024-0128-01","31117"
"104267-0011-03","18-1935"
"101743-0026-03","17-00196"
"066629-0144-05","523-2018-00269"
"000018-0002-07","13-1897"
"116983-0021.001","18-3893"
"006432-0181","16-7121"
"026723-0226-175","2018-7399"
"100383-0179.001","657387/17"
"119714-0001.02","WC-CM-485107"
"034664-0346-01","18-1300"
"067326-0035.001","19 cv 1279"
"026723-0226-137","C666277"
"PH Temp. Holding (48)","CV19924496"
"057482-0013.001","ATL-L-2549-18"
"068695-0124-04","17-1666"
"052776-0240.001","RG18923832"
"107742-0001-05","1412238"
"088888-0501-02","510-2018-06539"
"026723-0226-121","18-0016"
"049673-0000-03","19-01142"
"039408-0622","25276/2013"
"099200-0127.080","570-2018-03540"
"100228-0001","14-1494"
"055089-0012-06","31-CA-220255"
"026723-0226-034","17-0713"
"107180-0018-02","MDL 1880"
"PH Temp. Holding (02)","1:14-cv-12018"
"064416-5931-02","IPR2015-01641"
"055121-0003-01","2 EAP 2018, 3 EAP 2018"
"117360-0001-01","16-2268"
"115140-0001-01","MDL No. 2677"
"061942-0000-04","540-2017-00201"
